article_id,article_publish_date,title,topic_desc,country_desc
726218,08/08/2018,Draft Legislation Likely To Be Implemented To Target Tax Structuring Strategies Via Hybrid Mismatches,Tax,Australia
724922,08/08/2018,Ontario&#39;s Cannabis Retail Industry: Private Retail Cannabis Sales Are Coming To Ontario,"Food, Drugs, Healthcare, Life Sciences",Canada
726240,08/08/2018,Merger Control In PNG: New Mandatory Notification Requirements,Corporate/Commercial Law,Australia
726242,08/08/2018,"The Duty To Defend: Pleadings, Pleadings, Pleadings!",Corporate/Commercial Law,Canada
726244,08/08/2018,Resolving Complaints In Multiple Forums,Employment and HR,Canada
726246,08/08/2018,The Thin Yellow Line: Are Remedial Steps Determinative?,"Litigation, Mediation & Arbitration",Canada
726248,08/08/2018,"Signed, Sealed, Delivered – But Is It Enforceable?",Employment and HR,Canada
726252,08/08/2018,Supreme Court Provides Guidance On New Protections For NSW Off-The-Plan Purchasers: DGF Property Holdings Pty Ltd v Butros & Ors,Real Estate and Construction,Australia
726296,08/08/2018,"No Store, No Problem: Federal Court&#39;s Broad Interpretation Of ""Use"" An Advantage For Non-Canadian Retail Trademark Owners",Intellectual Property,Canada
726302,08/08/2018,Cannabis Use And Road Safety: What You Need To Know,"Food, Drugs, Healthcare, Life Sciences",Canada
726346,08/08/2018,Casino Niagara: Rolling The Dice On Constructive Dismissal,Employment and HR,Canada
726350,08/08/2018,Revisiting Pound V. iWave: Lessons For Employers,Employment and HR,Canada
726358,08/08/2018,Property Tax Reminder: Important Deadline For Toronto Vacancy Rebate Applications!,Tax,Canada
726002,08/08/2018,The Socially Unacceptable Nature Of A Criminal Offence Does Not Automatically Justify The Dismissal Of The Convicted Employee,Employment and HR,Canada
726456,08/08/2018,"Tribunal Cautions Employers Against ""Citizenship"" Discrimination In Hiring",Employment and HR,Canada
726468,08/08/2018,Ontario Court Of Appeal: Expert Evidence Required In Professional Negligence Claims,"Litigation, Mediation & Arbitration",Canada
726344,08/08/2018,British Columbia Foreign Nationals&#39; Property Tax Faces Challenge For Being Ultra Vires And Discriminatory,Tax,Canada
726486,08/08/2018,IP Q&A: How To Navigate Canada&#39;s Official Marks System,Intellectual Property,Canada
726496,08/08/2018,Pending CFIUS Reform Expands U.S. Foreign Investment Review,"Government, Public Sector",Canada
726192,08/08/2018,Why the long face? – factors affecting the enforceability of verbal contracts,Corporate/Commercial Law,Australia
726562,09/08/2018,Workplace Relations Monthly Update - July 2018,Employment and HR,Australia
726564,09/08/2018,Work Health & Safety News – 7 August 2018,Employment and HR,Australia
726566,09/08/2018,Planning & Environment News – 8 August 2018,Real Estate and Construction,Australia
726570,09/08/2018,Defamation development: Comments on social media increase the scope of potential liability,"Litigation, Mediation & Arbitration",Australia
726572,09/08/2018,"Developers, love thy neighbour – Accessing neighbouring land to undertake development",Real Estate and Construction,Australia
726574,09/08/2018,No nuances in adjudicator duty: Nuance Group v Shape Australia [2018] VSC 362,Real Estate and Construction,Australia
726576,09/08/2018,"The Fair Work Ombudsman: Expanded statutory powers, blitzes and higher penalties",Employment and HR,Australia
726548,09/08/2018,Property Transfer Taxes: An Added Layer Of Disclosure,Tax,Canada
725192,09/08/2018,"Summer Update: Lobbying And Election Finance Reform In Alberta, Prince Edward Island","Government, Public Sector",Canada
724462,09/08/2018,No Free Pass: Ontario Superior Court Rules That Dismissed Employee Failed To Mitigate Damages By Retraining,Employment and HR,Canada
724496,09/08/2018,BCSC Finds Off-Duty Administrative Driving Prohibition Is Not Just Cause For Dismissal Of Firefighter,Employment and HR,Canada
724504,09/08/2018,Supreme Court Of Canada Upholds Workers&#39; Compensation Order Against Site Owner,Employment and HR,Canada
725280,09/08/2018,Upcoming Changes To Canada&#39;s Trademark And Anti-Counterfeit Laws,Intellectual Property,Canada
724898,09/08/2018,"Ontario Court Of Appeal Summaries (July 23 – July 27, 2018)","Litigation, Mediation & Arbitration",Canada
725776,09/08/2018,Australian Patent Office Refuses Patent For Financial Trading Method,Intellectual Property,Australia
726862,09/08/2018,Court Of Appeal Summaries (July 30-August 3),"Litigation, Mediation & Arbitration",Canada
726634,09/08/2018,Pleading Amendments Alleging Prior Public Disclosure Refused Where Defendants Lack Material Facts,"Litigation, Mediation & Arbitration",Canada
726692,09/08/2018,Contractual Interpretation Of Mandatory Statutory Terms Is A Question Of Law,Corporate/Commercial Law,Canada
726916,10/08/2018,The changing world of work: Is flexibility the way of the future?,Employment and HR,Australia
725590,10/08/2018,Hiring For Your Cannabis Business: What You Need To Know,"Food, Drugs, Healthcare, Life Sciences",Canada
725560,10/08/2018,Recent Updates On Education Development Charges In The City Of Toronto,Real Estate and Construction,Canada
726918,10/08/2018,Life Signs — Life Sciences Legal Trends In Canada,"Food, Drugs, Healthcare, Life Sciences",Canada
726912,10/08/2018,The Australian Financial Complaints Authority (AFCA): An overview,Finance and Banking,Australia
726914,10/08/2018,Construction Arbitration Know-How: Australia,Real Estate and Construction,Australia
726934,10/08/2018,Trust splitting: no longer an estate planning option?,Tax,Australia
726944,10/08/2018,WA Court of Appeal confirms retrospective planning approvals are mythical creatures,Real Estate and Construction,Australia
727004,10/08/2018,Why Councillors view Compliance Sections as important pillars of the Council,"Government, Public Sector",Australia
727034,10/08/2018,Flippin&#39; To The B-Side,Intellectual Property,Canada
727060,10/08/2018,New BC Cannabis Legislation And Consequential Amendments To The Residential Tenancy Act,Real Estate and Construction,Canada
727074,10/08/2018,What Are The Issues Surrounding The Legalization Of Recreational Cannabis For The Damage Insurance Industry?,"Food, Drugs, Healthcare, Life Sciences",Canada
727080,10/08/2018,Not All Bad News Amidst African M&A Decrease,Corporate/Commercial Law,Canada
727120,10/08/2018,Take Note: Class Action Defendants May Be Ordered To Bear The Costs Of Notice To Class Members,"Litigation, Mediation & Arbitration",Canada
727236,11/08/2018,New Zealand second-tier Advancement patent fails to make it to first base,Intellectual Property,Australia
727226,11/08/2018,"IBAC: Investigation of corruption in Victorian public sector: Past, present and future","Government, Public Sector",Australia
727228,11/08/2018,Playing with fire: The real implications of the Shorten proposal to reverse penalty rate decision,Employment and HR,Australia
727232,11/08/2018,What do the new Queensland labour hire licensing laws mean for you?,Employment and HR,Australia
727240,11/08/2018,Caveats Series – Part 1: What is a caveat?,Real Estate and Construction,Australia
727246,11/08/2018,Stitched up by a subpoena side-step – Methods for obtaining transcripts of ASIC examinations,"Litigation, Mediation & Arbitration",Australia
727250,11/08/2018,"Physiotherapy and massage considered to be treats, not treatment – a win for proponents of the limitations of physiotherapy and related treatment",Employment and HR,Australia
726654,13/08/2018,Queensland Government Bulletin – 7 August 2018,"Government, Public Sector",Australia
727200,13/08/2018,OSFI Proposes Changes To The Leverage Requirements Guideline,Finance and Banking,Canada
727218,10/08/2018,"Exploring the Link between Gender, Governance, and Shareholder Activism",Corporate/Commercial Law,Canada
727516,13/08/2018,Open For Investment In Australia,"Government, Public Sector",Australia
727524,13/08/2018,Dow v. Nova: Interpreting an Operator&#39;s Objective to Optimize,"Litigation, Mediation & Arbitration",Canada
724262,01/08/2018,Could the council force a home owner to remove a caravan from her land? Which case won?,Real Estate and Construction,Australia
726658,13/08/2018,Healthcare News – 7 August 2018,"Food, Drugs, Healthcare, Life Sciences",Australia
726650,13/08/2018,NSW Government Bulletin - 8 August 2018: Part 2,"Government, Public Sector",Australia
726642,13/08/2018,NSW Government Bulletin - 8 August 2018 - Part 1: Data breaches of health records,"Government, Public Sector",Australia
726222,13/08/2018,The Weinstein Clause: What is it? Could it be coming to Australia?,Corporate/Commercial Law,Australia
727254,13/08/2018,Establishing a right to privacy in Australia: What would it look like and how would it work?,Privacy,Australia
727196,13/08/2018,Pension Plan Considerations In The M&A Context,Employment and HR,Canada
726904,13/08/2018,PIPEDA And The Digital Privacy Act – Application To Pension Plans?,Privacy,Canada
727388,13/08/2018,Court Certifies Sexual Assault Class Action Against The Royal Winnipeg Ballet And Former Instructor,"Litigation, Mediation & Arbitration",Canada
727118,13/08/2018,The Shape Of Litigation,Corporate/Commercial Law,Canada
726832,13/08/2018,"Safety Manager Wins Wrongful Dismissal Suit: He Had Not Failed To Complete Assigned Tasks, Court Decides",Employment and HR,Canada
727462,13/08/2018,6 Tax Planning Questions For Canadian Musicians (Video),Tax,Canada
727478,13/08/2018,Social Media And Reporting Issuers,Corporate/Commercial Law,Canada
726884,14/08/2018,The Green Rush: The Cannabis Industry Rolls On,"Food, Drugs, Healthcare, Life Sciences",Canada
727734,14/08/2018,Recent RCMP Raids On Indigenous Cannabis Shops Raise Important Questions,"Food, Drugs, Healthcare, Life Sciences",Canada
727884,14/08/2018,Trust Reporting Rules – Draft Legislation Released,Tax,Canada
727600,14/08/2018,Building fires trigger new mandatory cladding checklist for Queensland building owners,Real Estate and Construction,Australia
727602,14/08/2018,International business obligations – Modern Slavery laws,Corporate/Commercial Law,Australia
727604,14/08/2018,Solving cash flow problems saves Sydney-based building and construction supplier from going under,Corporate/Commercial Law,Australia
727606,14/08/2018,V Energy loses a mother of a battle over colour trademark: Australia courts decision in Frucor v Coca-Cola,Intellectual Property,Australia
727612,14/08/2018,Family and Domestic Violence Leave: Award changes came into effect 1 August!,Employment and HR,Australia
727616,14/08/2018,Key issues for over station developments.,Real Estate and Construction,Australia
727654,14/08/2018,Beneficial Interests In Discretionary Trusts And The Associated Corporations Rules; Moules Industriels v. The Queen,Corporate/Commercial Law,Canada
727752,14/08/2018,Five Things You Should Know – Cannabis And Travel To The US,"Food, Drugs, Healthcare, Life Sciences",Canada
727494,14/08/2018,CSA Highlight Common Deficiencies In Continuous Disclosure,Corporate/Commercial Law,Canada
727638,14/08/2018,International E-Discovery: A Global Handbook Of Law And Technology,"Litigation, Mediation & Arbitration",Canada
727362,14/08/2018,"Finance Proposes Amendments To Limit Holding Company - Input Tax Credit Claims (""ITC"") And Seeks Consultations On Further Possible Changes",Tax,Canada
727840,14/08/2018,"Where A Plaintiff Is Ordinarily Resident Outside Of Ontario, Under What Circumstances Will A Court Order Security For Costs?","Litigation, Mediation & Arbitration",Canada
727846,14/08/2018,Greco V. Frano: Helping Your Adult Child Purchase A Home,Real Estate and Construction,Canada
727992,15/08/2018,Health Canada Releases Updated Guidance On Amended PM(NOC) Regulations,"Food, Drugs, Healthcare, Life Sciences",Canada
728132,15/08/2018,Does The Public Have The Right To Know Who The Top Billing Doctors Are?,Privacy,Canada
728170,15/08/2018,Centrilogic Secures Strategic Equity Investment From Trispan Opportunities Fund And Long Point Capital With A Team Led By Matthew Tevlin And Adrian Myers Of Torkin Manes LLP,Corporate/Commercial Law,Canada
727934,15/08/2018,The Effects Of Brain Injury On Marriage Stability,"Litigation, Mediation & Arbitration",Canada
728002,15/08/2018,Federal Court Dismisses Application For A Prohibition Order Regarding Prasugrel Hydrochloride Under The Old PM(NOC) Regulations,Intellectual Property,Canada
728008,15/08/2018,M&A And The Advancement Of The RegTech Industry,Corporate/Commercial Law,Canada
728014,15/08/2018,"The Importance Of Cooperation Among Interjurisdictional Securities Regulators: United States Securities And Exchange Commission v. Autorité des marchés financiers, 2018 QCCQ 4417",Corporate/Commercial Law,Canada
728110,15/08/2018,The Man Who Sold (Around) The World: Ontario Not A Default Jurisdiction For Securities Class Actions,"Litigation, Mediation & Arbitration",Canada
728056,15/08/2018,Out Of The Weeds: What You Need To Know About The Cannabis Act As An Employer,"Food, Drugs, Healthcare, Life Sciences",Canada
728092,15/08/2018,Canada Takes Next Steps Towards Implementing The MLI,Tax,Canada
728178,15/08/2018,Holding Companies May Face New Rules For GST/HST,Tax,Canada
728128,15/08/2018,Quebec Public Procurement – New Procurement Authority Ramps Up,"Government, Public Sector",Canada
726838,15/08/2018,A Refresher On Employer Certification Program – Relief From Canadian Witholding,Tax,Canada
728166,15/08/2018,What Can Canada Expect With Mandatory Breach Notification?,Privacy,Canada
728184,15/08/2018,Proposed Legislation For Transparency – Land Owner Transparency Act,Real Estate and Construction,Canada
727940,15/08/2018,Part IVA anti-avoidance provisions: where is the line now between legitimate tax planning and tax avoidance?,Tax,Australia
727950,15/08/2018,Resigning from your employment - can you withdraw your resignation? - Latest developments,Employment and HR,Australia
727954,15/08/2018,Dismissing senior employees - the pitfalls to avoid - Part 1,Employment and HR,Australia
727960,15/08/2018,Dismissing senior employees - the pitfalls to avoid - Part 2,Employment and HR,Australia
728076,15/08/2018,#MeToo in #M&A: introducing the Weinstein warranty,Corporate/Commercial Law,Australia
728244,15/08/2018,Current Office Space Trends,Real Estate and Construction,Canada
728280,15/08/2018,Statutory Liabilities Of Directors: Marking The Risk Areas To Avoid Sliding Out Of Control,Corporate/Commercial Law,Canada
723118,27/07/2018,"ARS Ex Machina: Artificial Intelligence, The Artist",Intellectual Property,Canada
728316,15/08/2018,"Is The Clock Ticking? The Court Of Appeal Discusses Discoverability And The Application Of Section 5(1)(a)(iv) Of The Limitations Act, 2002","Litigation, Mediation & Arbitration",Canada
728320,15/08/2018,Ontario Government Makes Policy U-Turn: Doug Ford&#39;s Plan For The Private Retail Sale Of Cannabis,"Food, Drugs, Healthcare, Life Sciences",Canada
727910,16/08/2018,"Court Of Appeal Decision Reinforces Ontario's ""Pro-Enforcement"" Arbitration Regime","Litigation, Mediation & Arbitration",Canada
728346,16/08/2018,ASIC continues to flex its muscles on public company JORC code disclosure,Finance and Banking,Australia
728364,16/08/2018,New modern award entitlement to unpaid family and domestic violence leave,Employment and HR,Australia
728368,16/08/2018,"Ready, Set, Grow (And SELL)! Spotlight On Industrial Hemp","Food, Drugs, Healthcare, Life Sciences",Canada
728378,16/08/2018,High Expectations: Ontario&#39;s New Cannabis (Private) Retail Model,"Food, Drugs, Healthcare, Life Sciences",Canada
728496,16/08/2018,First Cannabis Patent Lawsuit Launched In The United States,"Food, Drugs, Healthcare, Life Sciences",Canada
728504,16/08/2018,Police Your Trademarks To Protect Your Brand,Intellectual Property,Canada
728568,16/08/2018,The Biosimilar Landscape In Canada,"Food, Drugs, Healthcare, Life Sciences",Canada
728694,16/08/2018,Cartoonist Challenges Banksy&#39;s Intellectual Property Rights,Intellectual Property,Canada
728350,16/08/2018,Next steps for ASIC industry funding laws,Finance and Banking,Australia
728352,16/08/2018,Crackdown on cladding crisis in Victoria,Real Estate and Construction,Australia
728354,16/08/2018,Franchise disclosure update time is here again,Corporate/Commercial Law,Australia
728366,16/08/2018,Construction & Infrastructure News - 13 August 2018,Real Estate and Construction,Australia
728284,16/08/2018,Age Discrimination In Employer&#39;s Group Benefit Plans,Employment and HR,Canada
728360,16/08/2018,Contractor panels – Contractor loses claim for unfair removal,Real Estate and Construction,Australia
728358,16/08/2018,True colours: The importance of getting colour right,Intellectual Property,Australia
728386,16/08/2018,"Stay Of Proceedings Based On AMF Failings In Its Disclosure Of Evidence : Baazov v. AMF, 2018 QCCQ 4449","Litigation, Mediation & Arbitration",Canada
728406,16/08/2018,Tax And Real Estate Investment: What Should Non-Residents Investing In Canadian Real Estate Consider?,Real Estate and Construction,Canada
728422,16/08/2018,Acquiring Cannabis Genetics Under The New Cannabis Regime,"Food, Drugs, Healthcare, Life Sciences",Canada
728442,16/08/2018,Health Canada Invites Public Comments On New Post-Market Reporting Regulations,"Food, Drugs, Healthcare, Life Sciences",Canada
728474,16/08/2018,Excise Tax Act Amendments Released July 2018,Tax,Canada
728498,16/08/2018,Lien On Me - The Problems With Construction Liens Being Registered On The Common Elements,Real Estate and Construction,Canada
728502,16/08/2018,Marijuana Legalization And Its Impact On Employers,"Food, Drugs, Healthcare, Life Sciences",Canada
728532,16/08/2018,6 Key Considerations When Purchasing A Dental Practice,"Food, Drugs, Healthcare, Life Sciences",Canada
728522,16/08/2018,Ontario Government Confirms Private Retail Model,"Food, Drugs, Healthcare, Life Sciences",Canada
728520,16/08/2018,No Need To Get Testy: Court Of Appeal For Newfoundland And Labrador Reinstates Employee After Improper Employer Drug-Testing,Employment and HR,Canada
728526,16/08/2018,An Employer&#39;s Guide To Privacy In The Workplace,Privacy,Canada
728590,16/08/2018,The Trump Transition Tax&#39;s Impact On Certain Canadians: A Practical Solution For Ottawa To Consider,Tax,Canada
728602,16/08/2018,Crypto Currency Taxation – Income Tax Implications Of Mining — Toronto Tax Lawyer Analysis,Tax,Canada
728596,16/08/2018,Tax Settlement Conferences: Rule 126.2 Of The Tax Court Of Canada Rules (General Procedure)—A Canadian Tax Lawyer&#39;s Guide,Tax,Canada
728606,16/08/2018,The Canadian Taxation Implications For Individual Non-Residents Disposing Of Canadian Real Property- Tax Guide By Canadian Tax Lawyer,Tax,Canada
728616,16/08/2018,Canadian Pensioners Disclosing Prior Year Foreign Income: Implications For Guaranteed Income Supplement Recipients And Their Spouses Or Common-Law Partners - Tax Guide By Canadian Tax Lawyer,Tax,Canada
728622,16/08/2018,Personal Services Businesses – A Toronto Tax Lawyer Analysis,Tax,Canada
728634,16/08/2018,"Corporate And Financial Crimes Series, #4: Money Laundering","Government, Public Sector",Canada
728566,16/08/2018,The Importance Of Carrying Out Timely Trademark Searches,Intellectual Property,Canada
728598,16/08/2018,Considerations On Costs: Boal V. International Capital Management Inc.,"Litigation, Mediation & Arbitration",Canada
728620,16/08/2018,Court Of Appeal Adds Another Exception To When Contractual Interpretation Is A Matter Of Law,Corporate/Commercial Law,Canada
728744,17/08/2018,Local Government News – 13 August 2018,"Government, Public Sector",Australia
728760,17/08/2018,Healthcare News – 13 August 2018,"Food, Drugs, Healthcare, Life Sciences",Australia
728768,17/08/2018,Property & Real Estate News – 13 August 2018,Real Estate and Construction,Australia
728770,17/08/2018,"Superannuation, Funds Management & Financial Services News – 15 August 2018",Finance and Banking,Australia
728792,17/08/2018,Residential Focus – 15 August 2018: Part 1 - Unsafe cladding in NSW,Real Estate and Construction,Australia
728794,17/08/2018,Residential Focus – 15 August 2018: Part 2,Real Estate and Construction,Australia
728726,17/08/2018,Marijuana Business Daily Speaks To Matt Maurer About Constellation&#39;s Investment In Cannabis Giant Canopy,"Food, Drugs, Healthcare, Life Sciences",Canada
728730,17/08/2018,Unenforceability In The U.S. A Non-Starter When Google Returns To The BC Supreme Court,"Litigation, Mediation & Arbitration",Canada
728736,17/08/2018,Did You Unintentionally Just Settle? A Cautionary Reminder To Be Objectively Clear In Your Negotiations,Intellectual Property,Canada
728738,17/08/2018,21-Year Tax Issues And The Non-Specialist Advisor - Part 3,Corporate/Commercial Law,Canada
728776,17/08/2018,MFDA Continuing Education Proposed Rules And Policy,Corporate/Commercial Law,Canada
728790,17/08/2018,Can Motorists Be Jurors???,"Litigation, Mediation & Arbitration",Canada
728806,17/08/2018,Know Your Rights (Offerings) – An Important Financing Alternative,Corporate/Commercial Law,Canada
728810,17/08/2018,Ontario Court Strikes Down Limits On Non-Partisan Political Advocacy By Charities,Corporate/Commercial Law,Canada
728812,17/08/2018,Recent Developments In Regulation Of Software As A Medical Device,"Food, Drugs, Healthcare, Life Sciences",Canada
728804,17/08/2018,"Female Police Officers&#39; Class Action Claiming Gender Harassment Dismissed Because Arbitrator, Not Courts, Had Jurisdiction",Employment and HR,Canada
728916,17/08/2018,Sulochana Shantakumar v. Attorney General Of Canada 2018 FC 677 – Case Comment By A Toronto Tax Lawyer On Taxpayer Relief Application,Tax,Canada
728920,17/08/2018,"Federal Court Upholds The Canada Revenue Agency&#39;s Audit Powers In The Face Of Charter Challenge: Campbell v Attorney General Of Canada, 2018 FC 683",Tax,Canada
728924,17/08/2018,Canada Revenue Agency Increases Efforts To Uncover Unreported Cryptocurrency & Offshore Income – A Canadian Tax Lawyer&#39;s Analysis,Tax,Canada
728928,17/08/2018,Determination Of An Individual&#39;s Residence Status For Canadian Tax Purposes,Tax,Canada
728838,17/08/2018,Challenging PCT Patent Applications: Filing Third Party Observations At The International Stage,Intellectual Property,Canada
728850,17/08/2018,Court Of Appeal Summaries (August 7 – 10),"Litigation, Mediation & Arbitration",Canada
713830,17/08/2018,Discussing Litigation Funding Can Help Lawyers To Meet Their Duty Of Care To Clients,"Litigation, Mediation & Arbitration",Canada
728836,17/08/2018,Trade Secrets In Molecular Diagnostics,Intellectual Property,Canada
728878,17/08/2018,Canada Without Poverty v. Attorney General Of Canada,Corporate/Commercial Law,Canada
723312,20/08/2018,CSA Announces Results Of Continuous Disclosure Review For Fiscal Years 2017 And 2018,Finance and Banking,Canada
729024,20/08/2018,Cannabis Testing And Employee Dismissal – Is Your Policy Ready For October 2018?,Employment and HR,Canada
729086,20/08/2018,How Fetal Heartrate Monitoring Prevents Birth Injuries: Part 1,"Food, Drugs, Healthcare, Life Sciences",Canada
729224,20/08/2018,Deal Or No Deal? When Is A Final Release Actually Final?,Employment and HR,Canada
729046,20/08/2018,Can a model litigant run a different argument in a later case?,"Litigation, Mediation & Arbitration",Australia
729052,20/08/2018,Taxing sale proceeds: income or capital? - that is the question,Tax,Australia
729076,20/08/2018,The ramifications of the full Federal Court decision in the Aussiegolfa DomaCom case – a win for the SMSF on the sole purpose test,Tax,Australia
729040,20/08/2018,Non-Resident Withholding Tax – Interest Income – A Toronto Tax Lawyer Analysis,Tax,Canada
729044,20/08/2018,Introduction – The Canada Revenue Agency Responds To The First Stream Of Applications Under The New Voluntary Disclosures Program (VDP),Tax,Canada
729048,20/08/2018,Taxation Of Shareholders: The Basic Deemed-Dividend Tax Rules—A Canadian Tax Lawyer&#39;s Analysis,Tax,Canada
729054,20/08/2018,"A Canadian Court Need Not Recognize A Foreign Court&#39;s Rectification Order For It To Bind The Canada Revenue Agency: Canadian Forest Navigation Co. Ltd. v Canada, 2017 FCA 39",Tax,Canada
729176,20/08/2018,CSA Notice 32-302 Announces Revocation Of The Northwestern And Mortgage Investment Entities Dealer Registration Exemptions,Corporate/Commercial Law,Canada
729164,20/08/2018,Marijuana In The Workplace – Are You Ready?,Employment and HR,Canada
729214,20/08/2018,What You Need To Know About The New Construction Act,Real Estate and Construction,Canada
729232,20/08/2018,"Mandatory Staff Positions, Security Clearances Under The Cannabis Act — Andrew Wilder And Matt Maurer Discuss These New Requirements In Grow Opportunity Magazine","Food, Drugs, Healthcare, Life Sciences",Canada
729246,20/08/2018,Significant Changes to GST/HST Holding Company Rules,Tax,Canada
729238,20/08/2018,Court Of Appeal Upholds Stay Of Secondary Market Misrepresentation Claim On Jurisdictional Grounds,"Litigation, Mediation & Arbitration",Canada
729236,20/08/2018,New Australian Modern Slavery Reporting Requirements On The Horizon – A Primer For Multinationals,"Government, Public Sector",Australia
729136,20/08/2018,"If I Suspect A Tree Fell In The Forest, Did It Fall?",Privacy,Canada
724094,20/08/2018,Email Communication And Formation Of Contract,Corporate/Commercial Law,Canada
729162,20/08/2018,Living In A Material World: Materiality Drives Dismissal Of Motion For Leave To Commence Statutory Misrepresentation Claims Under The Ontario Securities Act,"Litigation, Mediation & Arbitration",Canada
729234,20/08/2018,Is It A Dunlop Dunlop Or A Goodyear Dunlop? — The Curious Case Of Ownership Of The Dunlop Marks For Aircraft Tyres,Intellectual Property,Australia
729326,20/08/2018,Upcoming Changes to Land Ownership Disclosure Requirements in British Columbia,Real Estate and Construction,Canada
729296,20/08/2018,Nemchin V. Green: The Deduction Of Collateral Benefits At Trial,"Litigation, Mediation & Arbitration",Canada
729348,20/08/2018,10 Ways Manufacturers Can Save Money And Improve Profits (Infographic),Corporate/Commercial Law,Canada
729366,20/08/2018,"Digital Privacy Act Mandatory Data Breach Response Obligations Effective November 1, 2018: 5 Key Focus Areas For Your Compliance Plan",Privacy,Canada
729446,21/08/2018,Broader Public Sector Compensation: Changes And A New Freeze,Employment and HR,Canada
729450,21/08/2018,Craft Beer Industry Incentives Deemed Unconstitutional,"Food, Drugs, Healthcare, Life Sciences",Canada
729428,21/08/2018,Will the Fair Work Act protect the right of an employee of Cricket Australia to tweet her political opinion?,Employment and HR,Australia
729430,21/08/2018,How to protect your business against unfair dismissal claims,Employment and HR,Australia
729438,21/08/2018,5 Lessons directors of SMEs can learn from failures in the banking sector,Corporate/Commercial Law,Australia
729512,21/08/2018,Feeling ‘Crabby&#39;?: Ontario Court Of Appeal Clarifies Scope Of Expanded Fact-Finding Powers On Summary Judgment,"Litigation, Mediation & Arbitration",Canada
729520,21/08/2018,"As Third-Party Class Action Funders Make Their Mark In Canada, An Ontario Court Establishes Some Ground Rules","Litigation, Mediation & Arbitration",Canada
729546,21/08/2018,BPS Executive Compensation – New Framework Takes Immediate Effect,"Government, Public Sector",Canada
729560,21/08/2018,New 2018 Cost Of Data Breaches Study Released,Privacy,Canada
729564,21/08/2018,Executive Compensation Freeze Returns To The Broader Public Sector,"Government, Public Sector",Canada
729574,21/08/2018,Netherlands Entity Held To Be Resident Of Canada: Canadian Tax Court Rules On POEM!,Tax,Canada
727928,15/08/2018,Mexico Update: What Is The New Administration&#39;s Labour Policy?,Employment and HR,Canada
729756,22/08/2018,Notice of a claim must be given – no exceptions for detective,Employment and HR,Australia
729758,22/08/2018,At risk residential development in Cammeray completed after successful negotiation with purchasers,Real Estate and Construction,Australia
726480,08/08/2018,"Big Changes To Gifts, Trusts, And Savings For ODSP Recipients",Corporate/Commercial Law,Canada
729772,22/08/2018,Construction law and projects - August 2018 legal update from Corrs,Real Estate and Construction,Australia
729382,22/08/2018,Good News To Report About Canadian Trade Reports - Private Placement Trade Reporting Becomes Easier In October,Corporate/Commercial Law,Canada
729518,22/08/2018,Truth And Reconciliation: New Statutory Holiday Considered For Federally-Regulated Workplaces,"Government, Public Sector",Canada
729526,22/08/2018,Clearly Separate: Workplace Sexual Misconduct Not Captured By Employment Release,Employment and HR,Canada
729808,22/08/2018,Harmonizing Cash Collateral Perfection Rules Between Canada And The U.S.,Finance and Banking,Canada
729868,22/08/2018,26 Cannabis Companies Sign Supply Agreements With Province Of Ontario,"Food, Drugs, Healthcare, Life Sciences",Canada
729894,22/08/2018,Taxation Of Cryptocurrencies In Canada: What Business Leaders Need To Know,Tax,Canada
729956,22/08/2018,"Branding And Cannabis: A ""Blunt"" List Of Ten Things Companies Must Know About Canadian Cannabis Branding Limitations",Intellectual Property,Canada
729900,22/08/2018,"Bilcon Of Delaware Et Al V Government Of Canada: NAFTA Has Teeth, And Decisions Have Consequences","Litigation, Mediation & Arbitration",Canada
729944,22/08/2018,Five Things You Should Know – Cannabis And Travel To The US,"Food, Drugs, Healthcare, Life Sciences",Canada
729610,22/08/2018,Update To Extraordinary Damages In Canadian Employment Law,Employment and HR,Canada
729656,22/08/2018,The Limits Of Intelligence Collection,Privacy,Canada
729774,22/08/2018,Non-disclosure agreements: Are they worth a razoo?,Corporate/Commercial Law,Australia
730030,23/08/2018,Unpaid domestic and family violence leave now in modern awards,Employment and HR,Australia
730046,23/08/2018,Federal Court Of Appeal Upholds Health Canada&#39;s Requirement For Additional Information On Testing Data Integrity,"Food, Drugs, Healthcare, Life Sciences",Canada
730098,23/08/2018,Gender diversity study in ASX 201-500 companies,Corporate/Commercial Law,Australia
730196,23/08/2018,Cannabis in the Ontario Workplace – An Update,Employment and HR,Canada
730230,23/08/2018,Cannabis Testing and Employee Dismissal – Is Your Policy Ready for October 2018 - Ritu Mahil and Katy Allen&#39;s article featured in Canadian Employment Law Today,Employment and HR,Canada
730020,23/08/2018,The proposed Consumer Data Right (CDR) scheme: What are the key features?,Privacy,Australia
730022,23/08/2018,Rare win for employer in indemnity costs case,Employment and HR,Australia
730024,23/08/2018,Breaking news: FWC Full Bench finds that casual work not included in redundancy calculations – distinguishes 2016 FWC Full Bench decision,Employment and HR,Australia
730026,23/08/2018,Miscellaneous Award – time to rethink Award coverage,Employment and HR,Australia
730028,23/08/2018,Texting inappropriate messages outside of work hours still constitutes sexual harassment,Employment and HR,Australia
730050,23/08/2018,Implied terms in employment contracts: Court of Appeal finds employment contract should not to be interpreted subject to Jewish law,Employment and HR,Australia
730056,23/08/2018,An update on the new GST withholding regime for the sale of residential premises,Tax,Australia
